,Time,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,ERCOT,KHOU,KHOU_squared,orig.id
7627,11/14/10 23:00,7892.453281,1078.527317,1209.533759,707.1189133,9298.475188,2183.299312,4557.00191,921.6552094,27848.06489,55.562,3087.135844,7627
53071,1/22/16 1:00,9813.566487,1458.520675,2104.967536,876.8294476,13646.45966,2283.855579,5377.091572,1094.301751,36655.59271,53.312,2842.169344,53071
50592,10/10/15 18:00,14115.62826,1610.058767,2133.197671,875.4953886,14506.89981,4051.394712,8401.729662,1303.625508,46998.02978,86.162,7423.890244,50592
19017,3/3/12 22:00,8118.475199,1156.747688,1388.356112,717.3664903,10267.16721,2479.992288,4969.539676,935.3097042,30032.95437,66.362,4403.915044,19017
21832,6/29/12 5:00,10202.77758,1313.533348,1450.08203,815.679784,12587.41104,2893.035866,5942.306895,1012.827351,36217.65389,80.762,6522.500644,21832
607,1/26/10 7:00,9324.057306,1570.505821,1335.926134,997.4394934,14022.81572,2551.980012,6274.688096,1228.008655,37305.42124,46.562,2168.019844,607
4611,7/12/10 7:00,10432.59754,1307.344604,1192.944119,831.5247832,12534.02557,2663.660513,6136.357329,952.0295314,36050.48399,78.962,6234.997444,4611
10238,3/3/11 18:00,9504.336702,1164.114799,1353.958286,673.4754974,10478.27259,2807.384601,5222.084007,950.8530292,32154.47951,73.562,5411.367844,10238
42251,10/28/14 2:00,8632.827784,1109.773939,1790.037635,663.0264669,9684.643522,2386.073177,4735.400239,882.9823196,29884.76508,69.962,4894.681444,42251
21910,7/2/12 11:00,13568.09665,1631.597345,1597.381235,1031.74048,15565.71067,3775.197922,7549.543121,1202.459555,45921.72699,77.162,5953.974244,21910
55316,4/24/16 14:00,10568.24827,1234.269223,2091.388326,706.7759527,11336.55796,3372.506332,5737.213758,992.4744057,36039.43422,74.012,5477.776144,55316
31818,8/19/13 7:00,10511.30077,1272.803419,1606.395787,756.5616597,11532.18714,2785.843671,5852.499613,973.9599461,35291.55201,75.362,5679.431044,31818
51470,11/16/15 8:00,9919.216103,1259.56621,2011.126137,715.249716,10793.68657,2748.199857,5387.357405,941.1554638,33775.55746,66.812,4463.843344,51470
21904,7/2/12 5:00,9404.611312,1115.512504,1393.487111,751.4371027,11256.26237,2692.866358,5226.007118,920.3659586,32760.54983,77.162,5953.974244,21904
33770,11/8/13 15:00,9332.215667,1169.855191,1709.782703,725.1533043,10627.1758,2528.291481,5073.003951,965.6232191,32131.10132,60.962,3716.365444,33770
37820,4/26/14 11:00,10347.87173,1218.551748,1915.093362,737.6312357,10952.30435,3112.191963,5615.204711,1050.119755,34948.96886,69.962,4894.681444,37820
39064,6/17/14 7:00,12154.00514,1394.002598,1856.133639,834.015917,12833.77674,3222.260765,6415.290205,1063.025301,39772.51031,80.762,6522.500644,39064
28353,3/27/13 22:00,9306.965363,1217.773941,1487.336625,755.6351625,10975.27143,2700.525945,5459.367437,968.0191493,32870.89506,64.562,4168.251844,28353
34922,12/26/13 17:00,9093.174362,1164.91243,1740.053973,765.8219057,11449.90231,2990.21535,5876.450721,1101.490363,34182.02142,60.962,3716.365444,34922
33439,10/25/13 20:00,10333.1063,1267.828892,1630.153405,724.1613303,10929.28798,3110.968201,6047.201303,964.1554644,35006.86288,73.562,5411.367844,33439
22233,7/15/12 22:00,12606.17487,1509.572487,1753.041777,1064.606123,14093.37443,3763.562041,6979.132126,1211.390403,42980.85425,87.962,7737.313444,22233
48220,7/3/15 22:00,13947.92046,1655.312675,2144.343763,962.2198882,15733.10249,3923.452608,8241.253117,1325.88256,47933.48757,86.162,7423.890244,48220
40641,8/22/14 0:00,13426.087,1706.13416,2007.86878,1023.6548,16240.4776,3961.6217,8355.51472,1291.16513,48012.52389,86.162,7423.890244,40641
48848,7/30/15 2:00,12641.15643,1526.265532,2130.182779,895.3002541,14054.08633,3306.60825,7053.98461,1152.014268,42759.59845,84.812,7193.075344,48848
2692,4/23/10 6:00,8359.608296,974.5549529,997.6154258,596.2259073,8181.279675,2195.137614,4083.31979,700.1942694,26087.93593,72.662,5279.766244,2692
38586,5/28/14 9:00,10191.8725,1291.247709,1765.9045,737.7245407,11323.88388,3045.730991,5902.691195,972.3636551,35231.41898,70.862,5021.423044,38586
46179,4/9/15 20:00,12762.31184,1431.359216,2032.045248,790.706514,13409.95048,3638.969462,7437.820455,1161.452938,42664.61615,83.912,7041.223744,46179
24604,10/22/12 17:00,13916.40324,1605.240089,1678.048166,872.6579166,14252.83501,4175.326121,8443.88978,1231.170675,46175.571,82.562,6816.483844,24604
53618,2/13/16 20:00,9831.713276,1130.233141,1990.216822,739.906925,10692.01795,2848.452059,5499.345607,987.2746954,33719.16047,65.912,4344.391744,53618
16736,11/29/11 12:00,9273.629331,1307.809957,1383.205226,787.2049115,12003.55232,2396.606575,5373.996235,985.8061669,33511.81072,37.562,1410.903844,16736
14717,9/6/11 9:00,9236.775216,1189.434031,1291.306207,696.420185,10795.09311,2714.780183,5109.000775,860.2641025,31893.07381,68.162,4646.058244,14717
22495,7/26/12 20:00,15132.08274,2094.829908,1712.689689,1145.311622,20437.78073,4343.880842,9633.493473,1371.082361,55871.15137,91.562,8383.599844,22495
